body_name,organisational_unit,expenditure_category,expenditure_code,paid_date,trans_no,amount,caporrev,supplier_id,supplier_name
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,21/01/2014,46279931_1,500.00,Revenue,20000000_46279931,NIRA EVENTS
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,28/01/2014,46279973_1,100565.40,Revenue,20000000_46279973,CgMs Ltd. 
Oxford City Council,HRA,Special Events,D3807,11/02/2014,46280236_1,552.00,Revenue,20000000_46280236,Redacted personal data
Oxford City Council,Human Resources & Facilities,Hire of Rooms & Buildings,K9540,11/02/2014,46280252_1,2280.00,Revenue,20000000_46280252,SARA BIRD & ADRIAN LONSDALE
Oxford City Council,Human Resources & Facilities,Hire of Rooms & Buildings,K9540,11/02/2014,46280252_2,345.00,Revenue,20000000_46280252,SARA BIRD & ADRIAN LONSDALE
Oxford City Council,Human Resources & Facilities,Hire of Rooms & Buildings,K9540,11/02/2014,46280252_3,400.00,Revenue,20000000_46280252,SARA BIRD & ADRIAN LONSDALE
Oxford City Council,Suspense,Creditors - BACS,J8810,04/03/2014,46280522_1,555.00,Revenue,20000000_46280522,SARAH SIMMONDS
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,04/03/2014,46280548_1,500.00,Revenue,20000000_46280548,BIG CHOICE GROUP LTD
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,04/03/2014,46280550_1,500.00,Revenue,20000000_46280550,RMP ENTERPRISE LTD
Oxford City Council,Suspense,Property Rents/Income,K9550,11/03/2014,46280601_1,7000.00,Revenue,20000000_46280601,Redacted personal data
Oxford City Council,"Leisure, Parks & Communities",Grants,D3701,28/03/2014,46281188_1,750.00,Revenue,20000000_46281188,UPPER WOLVERCOTE ALLOTMENT ASSOCIATION
Oxford City Council,HRA,Special Events,D3807,14/01/2014,46279745_1,2000.00,Revenue,20000010_46279745,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,14/01/2014,46279746_1,1000.00,Revenue,20000010_46279746,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/01/2014,46279779_1,1590.00,Revenue,20000010_46279779,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/01/2014,46279780_1,795.00,Revenue,20000010_46279780,Redacted personal data
Oxford City Council,Housing and Property,DAAT,F5031,14/01/2014,46279782_1,1275.00,Revenue,20000010_46279782,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/01/2014,46279784_1,688.68,Revenue,20000010_46279784,Redacted personal data
Oxford City Council,Holding Accounts & Other Funds,Rent Allowance Cheques (Home Choice),F5033,21/01/2014,46279839_1,1193.99,Revenue,20000010_46279839,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,21/01/2014,46279861_1,3418.48,Revenue,20000010_46279861,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/01/2014,46279916_1,1075.00,Revenue,20000010_46279916,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/01/2014,46279917_1,875.00,Revenue,20000010_46279917,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/01/2014,46279932_1,795.00,Revenue,20000010_46279932,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/01/2014,46279933_1,795.00,Revenue,20000010_46279933,Redacted personal data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,21/01/2014,46279938_1,950.00,Revenue,20000010_46279938,Redacted personal data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,28/01/2014,46279995_1,500.00,Revenue,20000010_46279995,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,28/01/2014,46280025_1,3586.00,Revenue,20000010_46280025,Redacted personal data
Oxford City Council,Housing and Property,Board & Lodging Payments,D3604,28/01/2014,46280055_1,1160.00,Revenue,20000010_46280055,NEIL & MRS S J CUTHBERT
Oxford City Council,HRA,Special Events,D3807,04/02/2014,46280099_1,2131.95,Revenue,20000010_46280099,MR PATRICK J WOLLANDS
Oxford City Council,Housing and Property,Homeless Prevention,D3426,04/02/2014,46280108_1,950.00,Revenue,20000010_46280108,DARREN EVANS
Oxford City Council,Housing and Property,Homeless Prevention,D3426,04/02/2014,46280120_1,600.00,Revenue,20000010_46280120,Aida Porter (Organisation)
Oxford City Council,Housing and Property,Homeless Prevention,D3426,04/02/2014,46280121_1,600.00,Revenue,20000010_46280121,Mr Peter Bennett
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/02/2014,46280126_1,1192.50,Revenue,20000010_46280126,Savills
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/02/2014,46280127_1,795.00,Revenue,20000010_46280127,Savills
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/02/2014,46280130_1,1900.00,Revenue,20000010_46280130,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/02/2014,46280132_1,1000.00,Revenue,20000010_46280132,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/02/2014,46280133_1,950.00,Revenue,20000010_46280133,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/02/2014,46280135_1,935.00,Revenue,20000010_46280135,Redacted personal data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,04/02/2014,46280136_1,935.00,Revenue,20000010_46280136,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/02/2014,46280137_1,900.00,Revenue,20000010_46280137,JOHNSONS CHARTERED SURVEYORS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/02/2014,46280139_1,500.00,Revenue,20000010_46280139,Redacted personal data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,04/02/2014,46280141_1,2979.35,Revenue,20000010_46280141,Redacted personal data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,04/02/2014,46280143_1,500.00,Revenue,20000010_46280143,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/02/2014,46280146_1,1000.00,Revenue,20000010_46280146,As Howse
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/02/2014,46280147_1,1100.00,Revenue,20000010_46280147,As Howse
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/02/2014,46280148_1,1100.00,Revenue,20000010_46280148,As Howse
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,11/02/2014,46280220_1,500.00,Revenue,20000010_46280220,SPRINGERS
